               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/car_mAP_50,  metrics/bus_mAP_50,metrics/other_truck_mAP_50,metrics/uhaul_truck_mAP_50,metrics/fedex_truck_mAP_50,metrics/ups_truck_mAP_50,metrics/amazon_truck_mAP_50,metrics/usps_truck_mAP_50
                   0,            0.065005,             0.01323,             0.02058,            0.010989,            0.051037,            0.006629,           0.0010559,            0.054632,            0.011074,            0.018136,           0.0001312,           0.0001312,            0.048081,           0.0037748,          0.00017886,          0.00035831,          4.9966e-05,          0.00017451,          0.00025865,           5.201e-05,           0.0036004
                   1,            0.061547,            0.013854,            0.020215,            0.018871,            0.060848,            0.011542,           0.0019701,            0.049747,            0.011958,            0.017633,          0.00026559,          0.00026559,            0.046116,           0.0089381,          0.00034242,          0.00067929,           5.757e-05,          0.00014392,          0.00032834,          2.6512e-05,           0.0052444
                   2,            0.056485,            0.015188,            0.019701,            0.039433,            0.050071,             0.02196,           0.0050325,            0.043919,            0.012909,            0.016987,          0.00039996,          0.00039996,             0.04415,            0.032077,          0.00087722,           0.0013902,          0.00017415,          0.00022539,          0.00043853,          0.00014845,            0.004929
                   3,            0.051409,            0.015902,            0.019114,            0.062207,            0.070166,            0.047316,            0.014762,            0.038109,             0.01371,            0.016297,          0.00053428,          0.00053428,            0.042184,             0.10312,            0.002054,           0.0043189,          0.00054115,          0.00073851,          0.00078332,          0.00032159,           0.0062207
                   4,            0.046557,            0.017386,            0.018444,            0.059399,             0.17098,            0.076742,            0.033402,            0.033307,            0.014169,            0.015524,          0.00066854,          0.00066854,            0.040219,             0.22215,           0.0059552,            0.024434,           0.0022355,           0.0020261,           0.0020536,          0.00083509,           0.0075323
                   5,            0.041555,            0.017165,            0.017583,            0.083063,             0.17596,            0.091772,            0.034932,             0.02994,            0.014126,            0.014646,          0.00080272,          0.00080272,            0.038253,             0.18958,            0.016812,            0.025544,            0.011556,            0.014994,           0.0057841,           0.0023836,            0.012798
                   6,            0.038014,            0.017399,            0.016886,             0.14442,             0.23953,             0.12789,            0.055153,            0.026756,             0.01354,            0.013804,          0.00093679,          0.00093679,            0.036287,             0.23934,              0.0483,            0.035347,            0.043944,            0.015171,             0.01087,           0.0078414,            0.040407
                   7,            0.035685,            0.016112,            0.016087,            0.099075,             0.31174,             0.13515,            0.057153,            0.024884,            0.012263,            0.012971,           0.0010707,           0.0010707,            0.034321,             0.24962,             0.05916,            0.027619,            0.021557,            0.015863,            0.013656,            0.026152,            0.043596
                   8,            0.034048,            0.015549,            0.015329,             0.10995,             0.25044,             0.12078,             0.05068,             0.02385,            0.010424,            0.012268,           0.0012045,           0.0012045,            0.032355,             0.24275,            0.042548,            0.025704,           0.0043089,            0.014908,             0.01551,            0.039321,            0.020388
                   9,            0.033846,            0.013076,            0.014844,            0.065025,             0.37601,              0.1164,            0.044421,            0.025345,           0.0092864,            0.011765,           0.0013382,           0.0013382,            0.030388,             0.16167,            0.027586,            0.025756,           0.0020152,            0.013467,             0.01983,            0.088424,            0.016625
