               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060036,            0.077876,            0.020362,             0.57366,             0.25861,             0.24331,              0.1195,              0.0448,            0.076359,            0.011786,           0.0033331,           0.0033331,            0.070002
                   1,            0.050015,            0.074792,            0.011797,             0.61617,             0.31888,             0.33006,             0.15895,            0.042424,            0.073998,           0.0095412,           0.0066663,           0.0066663,            0.040002
                   2,            0.048395,            0.074407,            0.010706,             0.65284,             0.35093,             0.36579,             0.17732,            0.041608,            0.073165,           0.0085701,           0.0099988,           0.0099988,            0.010001
                   3,            0.046615,            0.073721,             0.01005,             0.67689,             0.36132,             0.38588,             0.18721,            0.041012,            0.072345,            0.007953,           0.0099978,           0.0099978,           0.0099978
                   4,             0.04519,            0.072795,           0.0094949,             0.68358,               0.367,             0.39722,             0.19524,            0.040497,            0.071644,           0.0076001,           0.0099978,           0.0099978,           0.0099978
                   5,            0.044547,             0.07212,           0.0091489,             0.68953,             0.37772,             0.40745,             0.19953,            0.040218,            0.071265,           0.0073975,           0.0099961,           0.0099961,           0.0099961
                   6,            0.044121,            0.071728,           0.0089576,             0.68995,             0.38325,             0.41484,               0.204,            0.040004,             0.07096,           0.0072497,           0.0099938,           0.0099938,           0.0099938
                   7,            0.043789,            0.071034,           0.0088068,             0.67723,              0.3924,             0.41819,             0.20668,            0.039858,            0.070756,            0.007159,           0.0099911,           0.0099911,           0.0099911
                   8,            0.043538,            0.071083,           0.0086917,             0.68025,              0.3975,              0.4228,             0.20929,            0.039741,             0.07061,           0.0070863,           0.0099879,           0.0099879,           0.0099879
                   9,            0.043434,            0.070912,           0.0086039,             0.70187,             0.38955,             0.42639,              0.2111,            0.039658,            0.070496,           0.0070343,           0.0099842,           0.0099842,           0.0099842
                  10,            0.043325,            0.070642,           0.0085399,             0.70734,             0.38861,             0.42921,              0.2126,            0.039591,            0.070409,           0.0069949,             0.00998,             0.00998,             0.00998
