,Unnamed: 0,time,latitude,longitude,speed,original_file,image_file,obj_class_name,obj_class,x,y,w,h,confidences,date,month,day of week,box area,is_on_bus_line,should_keep
76,118,2021-10-04 14:17:14,37.86922777777778,-122.25541111111112,20.9214,GRMN_Bancroft_1.MP4,GRMN_Bancroft_1_492.jpg,fedex_truck,4,0.699999988079071,0.6458333134651184,0.1468749940395355,0.2175925970077514,0.8674388527870178,2021-10-04 14:17:14,10,0,0.03195891138856054,False,True
134,236,2021-10-04 14:17:25,37.86911666666667,-122.25621666666666,20.9214,GRMN_Bancroft_1.MP4,GRMN_Bancroft_1_827.jpg,fedex_truck,4,0.832812488079071,0.6875,0.3343749940395355,0.4527777731418609,0.8620312809944153,2021-10-04 14:17:25,10,0,0.1513975651955439,False,True
1958,2629,2021-11-15 16:25:17,37.86850277777778,-122.26059722222222,11.2654,GRMN_Bancroft_1002.MP4,GRMN_Bancroft_1002_631.jpg,bus,1,0.9169270992279052,0.5268518328666687,0.1619791686534881,0.7666666507720947,0.8782048225402832,2021-11-15 16:25:17,11,0,0.124184026726418,False,True
2021,2760,2021-11-15 16:25:26,37.86843055555556,-122.26109444444444,24.1401,GRMN_Bancroft_1002.MP4,GRMN_Bancroft_1002_900.jpg,fedex_truck,4,0.0828125029802322,0.4856481552124023,0.1656250059604644,0.4768518507480621,0.8971879482269287,2021-11-15 16:25:26,11,0,0.07897859062240625,False,True
2501,4811,2021-11-15 16:52:56,37.868566666666666,-122.26067222222224,22.5308,GRMN_Bancroft_1008.MP4,GRMN_Bancroft_1008_1777.jpg,amazon_truck,6,0.8682291507720947,0.4833333194255829,0.2635416686534881,0.307407408952713,0.8568410873413086,2021-11-15 16:52:56,11,0,0.08101466151184321,True,True
2655,5100,2021-11-15 16:53:38,37.86845,-122.26200277777778,22.5308,GRMN_Bancroft_1009.MP4,GRMN_Bancroft_1009_1219.jpg,bus,1,0.4229166805744171,0.4412037134170532,0.0281249992549419,0.0620370358228683,0.8698415160179138,2021-11-15 16:53:38,11,0,0.0017447915862969748,False,True
2551,4919,2021-11-15 16:53:32,37.8685,-122.261575,17.7027,GRMN_Bancroft_1009.MP4,GRMN_Bancroft_1009_1020.jpg,fedex_truck,4,0.3567708432674408,0.4555555582046509,0.09375,0.2018518447875976,0.8510633111000061,2021-11-15 16:53:32,11,0,0.018923610448837273,False,True
4322,6883,2021-10-04 19:53:10,37.86822222222222,-122.26394444444443,12.8747,GRMN_Bancroft_101.MP4,GRMN_Bancroft_101_1579.jpg,bus,1,0.4747395813465118,0.5708333253860474,0.0432291664183139,0.0861111134290695,0.8595871925354004,2021-10-04 19:53:10,10,0,0.0037225116528915502,False,True
4000,6546,2021-10-04 19:53:00,37.86826944444445,-122.26346111111113,17.7027,GRMN_Bancroft_101.MP4,GRMN_Bancroft_101_1267.jpg,ups_truck,5,0.2132812440395355,0.522685170173645,0.426562488079071,0.6842592358589172,0.9162490367889404,2021-10-04 19:53:00,10,0,0.2918793221390636,False,True
4414,7107,2021-11-15 16:54:13,37.86821666666667,-122.26420833333331,20.9214,GRMN_Bancroft_1010.MP4,GRMN_Bancroft_1010_456.jpg,bus,1,0.4291666746139526,0.4546296298503876,0.0406249985098838,0.0759259238839149,0.8677459359169006,2021-11-15 16:54:13,11,0,0.003084490544645594,False,True
4376,7008,2021-11-15 16:54:09,37.86825555555556,-122.26394166666668,19.3121,GRMN_Bancroft_1010.MP4,GRMN_Bancroft_1010_349.jpg,fedex_truck,4,0.3848958313465118,0.449999988079071,0.0656249970197677,0.1074074059724807,0.8572282791137695,2021-11-15 16:54:09,11,0,0.007048610696845026,False,True
4492,7342,2021-11-15 17:22:47,37.86916111111111,-122.25592222222222,27.3588,GRMN_Bancroft_1012.MP4,GRMN_Bancroft_1012_1461.jpg,fedex_truck,4,0.8205729126930237,0.6254629492759705,0.3578124940395355,0.574999988079071,0.852607786655426,2021-11-15 17:22:47,11,0,0.2057421798072756,False,True
4679,7855,2021-11-15 17:23:48,37.86873333333333,-122.25973055555556,11.2654,GRMN_Bancroft_1013.MP4,GRMN_Bancroft_1013_1453.jpg,ups_truck,5,0.3187499940395355,0.444907397031784,0.0958333313465118,0.1472222208976745,0.8660962581634521,2021-11-15 17:23:48,11,0,0.014108795876856194,False,True
5587,8950,2021-11-15 17:24:22,37.86871666666666,-122.25982222222224,4.828,GRMN_Bancroft_1014.MP4,GRMN_Bancroft_1014_669.jpg,ups_truck,5,0.2510416805744171,0.4439814686775207,0.155208334326744,0.2305555492639541,0.8611442446708679,2021-11-15 17:24:22,11,0,0.035784142771045885,False,True
