,segment,speed,detection,obj_class,detection_ts,start_ts,end_ts,start_filename,end_filename
0,College Ave,14.4,true,fedex_truck,2021-10-04 14:17:12,2021-10-04 14:16:58,2021-10-04 14:17:33,GRMN_Bancroft_1.MP4,GRMN_Bancroft_1.MP4
1,College Ave,14.4,true,fedex_truck,2021-10-04 14:17:13,2021-10-04 14:16:58,2021-10-04 14:17:33,GRMN_Bancroft_1.MP4,GRMN_Bancroft_1.MP4
2,College Ave,14.4,true,fedex_truck,2021-10-04 14:17:14,2021-10-04 14:16:58,2021-10-04 14:17:33,GRMN_Bancroft_1.MP4,GRMN_Bancroft_1.MP4
3,College Ave,14.4,true,amazon_truck,2021-10-04 14:17:23,2021-10-04 14:16:58,2021-10-04 14:17:33,GRMN_Bancroft_1.MP4,GRMN_Bancroft_1.MP4
4,College Ave,14.4,true,fedex_truck,2021-10-04 14:17:25,2021-10-04 14:16:58,2021-10-04 14:17:33,GRMN_Bancroft_1.MP4,GRMN_Bancroft_1.MP4
5,Shattuck,31.680000000000003,false,,,2021-10-04 14:25:22,2021-10-04 14:26:12,GRMN_Bancroft_9.MP4,GRMN_Bancroft_10.MP4
6,College Ave,17.379310344827587,true,fedex_truck,2021-10-04 14:40:22,2021-10-04 14:40:19,2021-10-04 14:40:48,GRMN_Bancroft_12.MP4,GRMN_Bancroft_12.MP4
7,College Ave,17.379310344827587,true,fedex_truck,2021-10-04 14:40:23,2021-10-04 14:40:19,2021-10-04 14:40:48,GRMN_Bancroft_12.MP4,GRMN_Bancroft_12.MP4
8,College Ave,17.379310344827587,true,fedex_truck,2021-10-04 14:40:24,2021-10-04 14:40:19,2021-10-04 14:40:48,GRMN_Bancroft_12.MP4,GRMN_Bancroft_12.MP4
9,College Ave,17.379310344827587,true,fedex_truck,2021-10-04 14:40:32,2021-10-04 14:40:19,2021-10-04 14:40:48,GRMN_Bancroft_12.MP4,GRMN_Bancroft_12.MP4
10,College Ave,0.9420560747663552,true,amazon_truck,2021-10-04 15:17:03,2021-10-04 15:13:28,2021-10-04 15:22:23,GRMN_Bancroft_28.MP4,GRMN_Bancroft_37.MP4
11,College Ave,0.9420560747663552,true,fedex_truck,2021-10-04 15:22:04,2021-10-04 15:13:28,2021-10-04 15:22:23,GRMN_Bancroft_28.MP4,GRMN_Bancroft_37.MP4
